path,extension,size_bytes,line_count,sha256
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/stubs/pycparser/c_parser.py,.py,691,26,e0b873a8221caba50f27f204f0de2430419086100ce241bee90826832bccb3da
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/stubs/pycparser/plyparser.py,.py,573,27,bbce8eca63414569c6a244c8b34b4f03d85f9c953aa191537667015f77f31644
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/add_test.py,.py,11114,334,ee8b93f9d68f768e805381d9a8d723674e9da33dafc9051a1e5650de8cdbec50
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/elf_file.py,.py,7574,217,564ec4d35ab41d559ba6a178988088d3e7108ae92540dad2d00c7599f725b87d
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/abs-sqrt/irix-g-out.c,.c,110,6,8492842637d4c07867bde4364649a0a47e2786a9199578bbfa5902af6c303974
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/abs-sqrt/irix-g.s,.s,896,22,f24fb47a868db1fc3916803e43530dfed95926028d82153c5b768fed6b6a9eac
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/abs-sqrt/irix-o2-out.c,.c,78,3,5f0b68510ba7f97205b4ae86c7ebe85f75fdf1268f01ae173d6a7a640712a001
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/abs-sqrt/irix-o2.s,.s,474,14,a8fa12c29d09ab6c12f23b41b4a93a0bedddabce13a3c17f042128c73637b41e
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/abs-sqrt/mwcc-o4p-flags.txt,.txt,20,1,2bf07e69816a4bcbb348d7cab0d9502c232044c96b4eef87adddfef432d950e8
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/abs-sqrt/mwcc-o4p-out.c,.c,343,11,b935a421ede320f2f803e1ed9d8caaf8f1615b7c969571b8d84e031fcaf5f4f6
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/abs-sqrt/mwcc-o4p.s,.s,645,19,2edc1527600e042a1445d4fcd5f399eca34da092fce75bae133842dd94541f6e
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/abs-sqrt/orig.c,.c,290,13,568c4c56f33d14b3ef06ce0b21b86d094b1a8294807ebc70ab4f53b630121d73
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment/irix-g-out.c,.c,1214,47,f613404db38a01eb0a71827be23bbf09d02a945f3cde3cf92243216c99f781bc
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment/irix-g.s,.s,6995,158,71a105102a0163c591041f778d35cd676585ce940e565023861c0647e2c1e60a
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment/irix-o2-noandor-flags.txt,.txt,11,1,6bff23e09f0d365c45f88ad4c6539230ba9721acc74644a8fcbae7cdc8ba7b4d
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment/irix-o2-noandor-out.c,.c,3091,120,3ae8c632a1febd9a5038cd838a6844237346de61e778ad5903d7e94a62977887
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment/irix-o2-noandor.s,.s,4556,102,003e73307328cecae0550863b8b5b38fe4b70fbf357baa6cb8593936dfebc1e3
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment/irix-o2-out.c,.c,2157,78,dd5cd34680ba3fdca2e6f5f971afa3be45ed97553cd5a90089ba8466ee519bd0
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment/irix-o2.s,.s,4334,96,ea57503e2ca2be6f520a5dc8a946a5c1dbc4f27fe0acd5c84c3815302a5d4995
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment/mwcc-o4p-flags.txt,.txt,20,1,2bf07e69816a4bcbb348d7cab0d9502c232044c96b4eef87adddfef432d950e8
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment/mwcc-o4p-out.c,.c,1643,61,5f56a53175a414406bf708f0861516b6d7f0c01e234b564528ff570c73572b56
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment/mwcc-o4p.s,.s,4206,99,b94d29e8407a97952e16105abbe5ece55f2eeb0aac8ec81f56c42ce816ab381b
