source_row,row_text,A,B,C,D
195,0x16C | Gravity | Float.,0x16C,Gravity,Float.,
196,0x170 | Terminal Velocity,0x170,Terminal Velocity,,
197,0x174 | Air mobility A,0x174,Air mobility A,,
198,0x178 | Air mobility B,0x178,Air mobility B,,
199,0x17C | Terminal Horizontal Air Velocity,0x17C,Terminal Horizontal Air Velocity,,
200,0x180 | Horizontal Air Friction,0x180,Horizontal Air Friction,,
201,0x184 | Fastfall Velocity,0x184,Fastfall Velocity,,
202,0x188 | Aerial Max Horizontal Velocity | Float,0x188,Aerial Max Horizontal Velocity,Float,
203,0x18C | Jab-2 input window,0x18C,Jab-2 input window,,
204,0x190 | Jab-3 input window,0x190,Jab-3 input window,,
205,0x194 | Frames to change direction on standing turn,0x194,Frames to change direction on standing turn,,
206,0x198 | Weight,0x198,Weight,,
207,0x19C | Model Scaling,0x19C,Model Scaling,,
208,0x1A0 | Initial Shield Size,0x1A0,Initial Shield Size,,
209,0x1A4 | Shield break initial velocity,0x1A4,Shield break initial velocity,,
210,0x1A8 | Rapid jab window,0x1A8,Rapid jab window,,
211,0x1AC | ???,0x1AC,???,,
212,0x1B0 | ???,0x1B0,???,,
213,0x1B4 | ???,0x1B4,???,,
214,0x1B8 | Ledge Jump Horizontal Velocity,0x1B8,Ledge Jump Horizontal Velocity,,
215,0x1BC | Ledge Jump Vertical Velocity,0x1BC,Ledge Jump Vertical Velocity,,
216,0x1C0 | Item Throw Velocity Multiplier,0x1C0,Item Throw Velocity Multiplier,,
217,0x1C4 | ???,0x1C4,???,,
218,0x1C8 | ???,0x1C8,???,,
219,0x1CC | ???,0x1CC,???,,
220,0x1D0 | ???,0x1D0,???,,
221,0x1D4 | ???,0x1D4,???,,
222,0x1D8 | ???,0x1D8,???,,
223,0x1DC | ???,0x1DC,???,,
224,0x1E0 | ???,0x1E0,???,,
225,0x1E4 | ???,0x1E4,???,,
226,0x1E8 | ???,0x1E8,???,,
227,0x1EC | ???,0x1EC,???,,
228,0x1F0 | Kirby B Star Damage,0x1F0,Kirby B Star Damage,,
229,0x1F4 | Normal Landing Lag,0x1F4,Normal Landing Lag,,
230,0x1F8 | N-air Landing Lag,0x1F8,N-air Landing Lag,,
231,0x1FC | F-air Landing Lag,0x1FC,F-air Landing Lag,,
232,0x200 | B-air Landing Lag,0x200,B-air Landing Lag,,
233,0x204 | U-air Landing Lag,0x204,U-air Landing Lag,,
234,0x208 | D-air Landing Lag,0x208,D-air Landing Lag,,
235,0x20C | Victory Screen Window Model Scale,0x20C,Victory Screen Window Model Scale,,
236,0x210 | ???,0x210,???,,
237,0x214 | Wall Jump Horizontal Velocity,0x214,Wall Jump Horizontal Velocity,,
238,0x218 | Wall Jump Vertical Velocity,0x218,Wall Jump Vertical Velocity,,
239,0x21C | ???,0x21C,???,,
240,0x220 | ???,0x220,???,,
241,0x224 | ???,0x224,???,,
242,0x228 | ???,0x228,???,,
243,0x22C | ???,0x22C,???,,
244,0x230 | ???,0x230,???,,
245,0x234 | ???,0x234,???,,
246,0x238 | ???,0x238,???,,
247,0x23C | ???,0x23C,???,,
248,0x240 | ???,0x240,???,,
249,0x244 | ???,0x244,???,,
250,0x248 | ???,0x248,???,,
251,0x24C | ???,0x24C,???,,
252,0x250,0x250,,,
253,0x254 | ???,0x254,???,,
254,0x258 | ???,0x258,???,,
255,0x25C | Bubble ratio?,0x25C,Bubble ratio?,,
256,0x260 | ???,0x260,???,,
257,0x264 | ???,0x264,???,,
258,0x268 | ???,0x268,???,,
259,0x26C | ???,0x26C,???,,
260,0x270 | Respawn Platform Scale,0x270,Respawn Platform Scale,,
261,0x274 | ???,0x274,???,,
262,0x278 | ???,0x278,???,,
263,0x27C | Camera Zoom Target Bone?,0x27C,Camera Zoom Target Bone?,,
264,0x280 | ???,0x280,???,,
265,0x284 | ???,0x284,???,,
266,0x288 | ???,0x288,???,,
267,0x28C | Special Jump Action = -1...?,0x28C,Special Jump Action = -1...?,,
268,"0x290 | Weight Dependent Throw Speed Flags | Does not actually get read from here, only from the loaded character file itself.",0x290,Weight Dependent Throw Speed Flags,"Does not actually get read from here, only from the loaded character file itself.",
269,*Character Attributes End*,*Character Attributes End*,,,
272,0x2D4 | Pointer to 0x2420 | Used by functions that are checking Article FP data,0x2D4,Pointer to 0x2420,Used by functions that are checking Article FP data,
273,0x2D8 | Pointer to 0x2420 (Repeated),0x2D8,Pointer to 0x2420 (Repeated),,
275,0x3E4 | Sub Action Event Timer | (Start of subaction struct. Often referenced as a pointer in subaction event functions as r4),0x3E4,Sub Action Event Timer,(Start of subaction struct. Often referenced as a pointer in subaction event functions as r4),
276,"0x3E8 | Sub Action State Frame Counter | Float, resets to 1 with each new action state.",0x3E8,Sub Action State Frame Counter,"Float, resets to 1 with each new action state.",
277,0x3EC | Subaction Syntax Data Position Pointer | Pointer. Pointer points to the current position of the subaction event data (by the Word) as it is being read by the subaction event handler. The subaction event data is as it is stored in the Pl**.dat file.,0x3EC,Subaction Syntax Data Position Pointer,Pointer. Pointer points to the current position of the subaction event data (by the Word) as it is being read by the subaction event handler. The subaction event data is as it is stored in the Pl**.dat file.,
278,0x3F0 | Event Loop Count | Int. Controlled by Event 0x0C,0x3F0,Event Loop Count,Int. Controlled by Event 0x0C,
279,0x3F4 | Event Return Pointer,0x3F4,Event Return Pointer,,
280,0x3F8 | Unk | Int. Same functionality as 0x3F0.,0x3F8,Unk,Int. Same functionality as 0x3F0.,
281,0x3FC | Unk,0x3FC,Unk,,
282,0x400 | Pointer to 0x460,0x400,Pointer to 0x460,,
283,0x404 | Pointer to 0x3C0,0x404,Pointer to 0x3C0,,
285,0x49C | Pointer to 0x4B0 / Color Blend Pointer,0x49C,Pointer to 0x4B0 / Color Blend Pointer,,
286,0x4B4 | rrggbbaa color | Changing changes color.,0x4B4,rrggbbaa color,Changing changes color.,
287,0x4B8 | Red value | Float. Set between 0 and 255.,0x4B8,Red value,Float. Set between 0 and 255.,
288,0x4BC | Green value | Float,0x4BC,Green value,Float,
289,0x4C0 | Blue value | Float,0x4C0,Blue value,Float,
290,0x4C4 | Alpha value | Float,0x4C4,Alpha value,Float,
291,0x4C8 | Red blink rate | Float,0x4C8,Red blink rate,Float,
292,0x4CC | Green blink rate | Float,0x4CC,Green blink rate,Float,
293,0x4D0 | Blue blink rate | Float,0x4D0,Blue blink rate,Float,
294,0x4D4 | Alpha blink rate | Float,0x4D4,Alpha blink rate,Float,
295,0x504 | Color tint on/off | Byte. Change to 0x80 or above to induce a color tint. Melee uses 0x91,0x504,Color tint on/off,Byte. Change to 0x80 or above to induce a color tint. Melee uses 0x91,
296,0x58C | Action state ID? | read during ASC @ 80085cf8 | Seems to be # of Subactions the character has,0x58C,Action state ID?,read during ASC @ 80085cf8,Seems to be # of Subactions the character has
297,0x590 | Action state data pointer | I THINK this points to data related to current action state.,0x590,Action state data pointer,I THINK this points to data related to current action state.,
298,"0x594 | Team ID | Most-significant bit appears to be related to air-to-ground momentum transfer, rest unknown",0x594,Team ID,"Most-significant bit appears to be related to air-to-ground momentum transfer, rest unknown",
299,0x598 | Unknown pointer,0x598,Unknown pointer,,
300,0x59C | Pointer to portion of PlxxAJ.dat for current subaction,0x59C,Pointer to portion of PlxxAJ.dat for current subaction,,
301,0x5A4 | Action state data length,0x5A4,Action state data length,,
302,0x5E8 | Bone lookup table (Points to a table of pointers to JObjs) | http://smashboards.com/threads/custom-subaction-event-character-data-modifications.429112/#post-20920399 | Note: The Table1 referenced here is incorrect - It's actually a JObj.,0x5E8,Bone lookup table (Points to a table of pointers to JObjs),http://smashboards.com/threads/custom-subaction-event-character-data-modifications.429112/#post-20920399,Note: The Table1 referenced here is incorrect - It's actually a JObj.
303,0x5F8 | Item Held Bool?,0x5F8,Item Held Bool?,,
304,0x60C | Pointer to GFX to display,0x60C,Pointer to GFX to display,,
305,0x618 | Player controller number | Byte. Change this to have a different player control the character.,0x618,Player controller number,Byte. Change this to have a different player control the character.,
306,0x619 | Costume ID | Byte.,0x619,Costume ID,Byte.,
307,0x61A | Color Overlay ID,0x61A,Color Overlay ID,,
308,"0x61B | Team ID | Byte. 00 = red, 01 = blue, 02 = green",0x61B,Team ID,"Byte. 00 = red, 01 = blue, 02 = green",
309,"0x620 | Analog Stick Data X | Used to compare previous value vs. current value to differentiate ""tilts"" and ""smashes""",0x620,Analog Stick Data X,"Used to compare previous value vs. current value to differentiate ""tilts"" and ""smashes""",
310,0x624 | Analog Stick Data Y,0x624,Analog Stick Data Y,,
311,0x628 | Prev Analog Stick X,0x628,Prev Analog Stick X,,
312,0x62C | Prev Analog Stick Y,0x62C,Prev Analog Stick Y,,
313,0x630,0x630,,,
314,0x634,0x634,,,
315,0x638 | C-Stick X-Axis | Float (-1.0 to 1.0),0x638,C-Stick X-Axis,Float (-1.0 to 1.0),
316,0x63C | C-Stick Y-Axis | Float (-1.0 to 1.0),0x63C,C-Stick Y-Axis,Float (-1.0 to 1.0),
317,0x640 | Flags,0x640,Flags,,
318,0x644,0x644,,,
319,0x648,0x648,,,
320,0x64C,0x64C,,,
321,"0x650 | Analog trigger data | 43/140 minimum, 1.00 maximum. 0.35 if z held.",0x650,Analog trigger data,"43/140 minimum, 1.00 maximum. 0.35 if z held.",
322,0x65C | Digital Button Data | See Global Addresses regarding Controller Data to better understand this.,0x65C,Digital Button Data,See Global Addresses regarding Controller Data to better understand this.,
323,0x660 | Digital Button Data (Prev. Frame),0x660,Digital Button Data (Prev. Frame),,
324,0x668 | Instant Buttons,0x668,Instant Buttons,,
325,0x670 | Frames Analog Stick Has Been in Tilt (X-Axis),0x670,Frames Analog Stick Has Been in Tilt (X-Axis),,
326,0x671 | Frames Analog Stick Has Been in Tilt (Y-Axis),0x671,Frames Analog Stick Has Been in Tilt (Y-Axis),,
327,0x672 | Frames Analog Trigger Has Been Lightly Pressed,0x672,Frames Analog Trigger Has Been Lightly Pressed,,
328,0x673 | Frames Analog Stick Has Been in SmashTurn or Tilt (X-Axis),0x673,Frames Analog Stick Has Been in SmashTurn or Tilt (X-Axis),,
329,0x674 | Frames Analog Stick Has Been in SmashTurn or Tilt (Y-Axis),0x674,Frames Analog Stick Has Been in SmashTurn or Tilt (Y-Axis),,
330,0x675 | Frames Analog Trigger Has Been Hard Pressed,0x675,Frames Analog Trigger Has Been Hard Pressed,,
331,0x676 | Frames Since Analog Stick Was Moved From X-Axis,0x676,Frames Since Analog Stick Was Moved From X-Axis,,
332,0x677 | Frames Since Analog Stick Was Moved From Y-Axis,0x677,Frames Since Analog Stick Was Moved From Y-Axis,,
333,0x678 | Frames Since Analog Trigger Was Moved,0x678,Frames Since Analog Trigger Was Moved,,
334,0x67C | Frames Since A Button Was Pressed,0x67C,Frames Since A Button Was Pressed,,
335,0x67D | Frames Since B Button Was Pressed,0x67D,Frames Since B Button Was Pressed,,
336,0x67E | Frames Since X/Y Button Was Pressed,0x67E,Frames Since X/Y Button Was Pressed,,
337,0x67F | Frames Since Z Button Was Pressed,0x67F,Frames Since Z Button Was Pressed,,
338,0x680 | Frames Since L/R Digital Button Was Pressed,0x680,Frames Since L/R Digital Button Was Pressed,,
339,0x681 | Frames Since DPad Up Button Was Pressed,0x681,Frames Since DPad Up Button Was Pressed,,
340,0x682 | Frames Since DPad Down Button Was Pressed,0x682,Frames Since DPad Down Button Was Pressed,,
341,0x688 | Unknown Byte Flag | Modified in function at 0x8006abec; unknown.,0x688,Unknown Byte Flag,Modified in function at 0x8006abec; unknown.,
342,0x689 | Time since Special Button being pressed (not modifiable?) | Modified in function at 0x8006abec; is based on the bool return value of a function pertaining to the B button. Byte. (0=just pressed; n = pressed n frames ago),0x689,Time since Special Button being pressed (not modifiable?),Modified in function at 0x8006abec; is based on the bool return value of a function pertaining to the B button. Byte. (0=just pressed; n = pressed n frames ago),
343,0x694 | TopN X Translation | Can be scaled by model scale,0x694,TopN X Translation,Can be scaled by model scale,
344,"0x6A8 | Unk (Y Offset from Double Jump position?) | Float. Used for Peach, Mewtwo, Yoshi, Ness Jump calc.",0x6A8,Unk (Y Offset from Double Jump position?),"Float. Used for Peach, Mewtwo, Yoshi, Ness Jump calc.",
345,0x6AC | Unk | Float. Seen using Peach's Umbrella,0x6AC,Unk,Float. Seen using Peach's Umbrella,
346,0x6F0 | Pointer to 0x00 / Start of Physics Struct,0x6F0,Pointer to 0x00 / Start of Physics Struct,,
347,0x6F4 | X (Curr Frame) | Float. Likely positions of TopN for physics related functions.,0x6F4,X (Curr Frame),Float. Likely positions of TopN for physics related functions.,
348,0x6F8 | Y | Float,0x6F8,Y,Float,
349,0x6FC | Z | Float,0x6FC,Z,Float,
350,0x700 | X (Prev Frame) | Float,0x700,X (Prev Frame),Float,
351,0x704 | Y | Float,0x704,Y,Float,
352,0x708 | Z | Float,0x708,Z,Float,
353,0x70C | X (Prev Frame) | Float,0x70C,X (Prev Frame),Float,
354,0x710 | Y | Float,0x710,Y,Float,
355,0x714 | Z | Float,0x714,Z,Float,
356,0x718 | X (Curr Frame) | Float,0x718,X (Curr Frame),Float,
357,0x71C | Y | Float,0x71C,Y,Float,
358,0x720 | Z | Float,0x720,Z,Float,
359,"0x724 | Floor ID During Action State | Set by 8004CBE8, set to -1 by 8004CBF4",0x724,Floor ID During Action State,"Set by 8004CBE8, set to -1 by 8004CBF4",
360,0x726 | Ledge grab box activation,0x726,Ledge grab box activation,,
361,0x72C | Floor ID - Action State,0x72C,Floor ID - Action State,,
362,0x738 | Collision?,0x738,Collision?,,
363,0x744 | Ledge Grab Box - X Width,0x744,Ledge Grab Box - X Width,,
364,0x748 | Ledge Grab Box - Y Displacement,0x748,Ledge Grab Box - Y Displacement,,
365,0x74C | Ledge Grab Box - Y Stretch,0x74C,Ledge Grab Box - Y Stretch,,
366,0x774 | ECB top X,0x774,ECB top X,,
367,0x778 | ECB top Y,0x778,ECB top Y,,
368,0x77C | ECB bottom X,0x77C,ECB bottom X,,
369,0x780 | ECB bottom Y,0x780,ECB bottom Y,,
370,0x784 | ECB right X,0x784,ECB right X,,
371,0x788 | ECB right Y,0x788,ECB right Y,,
372,0x78C | ECB left X,0x78C,ECB left X,,
373,0x790 | ECB left Y,0x790,ECB left Y,,
375,0x820 | ECB Update Flags? | 00000010 = Not ECB Bottom update,0x820,ECB Update Flags?,00000010 = Not ECB Bottom update,
376,0x824 | Environment Bitfield,0x824,Environment Bitfield,,
377,0x828 | Environment Bitfield Prev Frame,0x828,Environment Bitfield Prev Frame,,
378,0x830 | Position Last Landed X | Float,0x830,Position Last Landed X,Float,
379,0x834 | Position Last Landed Y | Float,0x834,Position Last Landed Y,Float,
380,0x83C | Floor ID,0x83C,Floor ID,,
381,0x840 | Ground Type,0x840,Ground Type,,
382,0x83F | Platform ID,0x83F,Platform ID,,
383,0x842 | Stage relation ID,0x842,Stage relation ID,,
384,"0x843 | Stage transformation ID | Byte. Default is 00, Pokemon Stadium transformations change this value",0x843,Stage transformation ID,"Byte. Default is 00, Pokemon Stadium transformations change this value",
385,"0x844 | Surface Normal X | Outward pointing unit length surface normal, at the point where the character stands",0x844,Surface Normal X,"Outward pointing unit length surface normal, at the point where the character stands",
386,0x848 | Surface Normal Y,0x848,Surface Normal Y,,
387,0x84C | Surface Normal Z | Probably always 0? But gets updated every time and is used used when the vector is normalized,0x84C,Surface Normal Z,Probably always 0? But gets updated every time and is used used when the vector is normalized,
388,0x850 | Right Wall ID last hit,0x850,Right Wall ID last hit,,
389,0x864 | Left Wall ID last hit,0x864,Left Wall ID last hit,,
390,0x878 | Ceiling ID last hit,0x878,Ceiling ID last hit,,
391,0x88C | ECB Inactive Frames | Int.,0x88C,ECB Inactive Frames,Int.,
392,0x890 | Pointer to Camera FP Data | See 80086B80 for example,0x890,Pointer to Camera FP Data,See 80086B80 for example,
393,"0x894 | Action State Frame Counter | Float, resets to 1 with each new action state.",0x894,Action State Frame Counter,"Float, resets to 1 with each new action state.",
394,0x898 | ??? | Float. Used for setting 0x3E8 during Event function,0x898,???,Float. Used for setting 0x3E8 during Event function,
395,0x89C | Speed of Current Animation | Float. Changing does nothing.,0x89C,Speed of Current Animation,Float. Changing does nothing.,
396,0x8A4 | ??? | Knocks player out of action states when set to 40C00000,0x8A4,???,Knocks player out of action states when set to 40C00000,
397,0x914 | Hitbox 0 | http://smashboards.com/threads/custom-subaction-event-character-data-modifications.429112/#post-20920399,0x914,Hitbox 0,http://smashboards.com/threads/custom-subaction-event-character-data-modifications.429112/#post-20920399,
398,0xA4C | Hitbox 1 | Note that the above thread lists as +0x60 position,0xA4C,Hitbox 1,Note that the above thread lists as +0x60 position,
399,0xB84 | Hitbox 2,0xB84,Hitbox 2,,
400,0xCBC | Hitbox 3,0xCBC,Hitbox 3,,
402,"0x1198 | Player ID Hitbox cannot Hit? | For some reason there is a flag in the hitbox subaction event that, when combined with this address being zero, prevents said hitbox from spawning (The code literally makes the parser skip over the hitbox.). See 0x8007121c. // Makes an exception for hitbox collision? | Update: Pointer of the player who threw this character. Used for throw knockback collisions and enables hitboxes only when character is thrown.",0x1198,Player ID Hitbox cannot Hit?,"For some reason there is a flag in the hitbox subaction event that, when combined with this address being zero, prevents said hitbox from spawning (The code literally makes the parser skip over the hitbox.). See 0x8007121c. // Makes an exception for hitbox collision?",Update: Pointer of the player who threw this character. Used for throw knockback collisions and enables hitboxes only when character is thrown.
403,0x119C | Team ID stored here | Somethign to do with Hitboxes and friendly fire?,0x119C,Team ID stored here,Somethign to do with Hitboxes and friendly fire?,
404,0x119D | Grabbing player's 0xC variable? | The byte at 0xC of the grabbing player's block is stored here for the person who was grabbed,0x119D,Grabbing player's 0xC variable?,The byte at 0xC of the grabbing player's block is stored here for the person who was grabbed,
405,0x11A0 | Hurtbox data start. | https://smashboards.com/threads/melee-gecko-codes-guide-and-discussion.327311/page-44#post-21572283,0x11A0,Hurtbox data start.,https://smashboards.com/threads/melee-gecko-codes-guide-and-discussion.327311/page-44#post-21572283,
407,0x1830 | Percentage | Float.,0x1830,Percentage,Float.,
408,0x1838 | Percentage for applied next frame | Float,0x1838,Percentage for applied next frame,Float,
409,0x183C | Damage Applied | Int.,0x183C,Damage Applied,Int.,
410,0x1840 | 0x00000000?,0x1840,0x00000000?,,
411,0x1844 | Damage Direction | Float. -1 to 1,0x1844,Damage Direction,Float. -1 to 1,
412,0x1848 | Knockback Angle | Int. Normally 0x00000169 (Sakurai Angle),0x1848,Knockback Angle,Int. Normally 0x00000169 (Sakurai Angle),
413,0x184C | 0x00000001?,0x184C,0x00000001?,,
414,0x1850 | Force Applied | Float.,0x1850,Force Applied,Float.,
415,0x1854 | X Position of Hitbox | Float,0x1854,X Position of Hitbox,Float,
416,0x1858 | Y Position of Hitbox | Float,0x1858,Y Position of Hitbox,Float,
417,0x185C | Z Position of Hitbox | Float,0x185C,Z Position of Hitbox,Float,
418,0x1860 | Unk | Dependent on 0x1848,0x1860,Unk,Dependent on 0x1848,
419,0x1864 | Unk | Dependent on 0x1848,0x1864,Unk,Dependent on 0x1848,
420,0x1868 | Damage Source | Points to an entity,0x1868,Damage Source,Points to an entity,
421,0x186C | Last Applied Damage | Float,0x186C,Last Applied Damage,Float,
422,0x18A4 | ??? | Float. Loaded with 80087454,0x18A4,???,Float. Loaded with 80087454,
423,0x18B4 | Armor | Acts like Yoshi's Double Jump Armor. Works on Grounded and Aerial! Float.,0x18B4,Armor,Acts like Yoshi's Double Jump Armor. Works on Grounded and Aerial! Float.,
424,0x18B8 | SDI horizontal offset,0x18B8,SDI horizontal offset,,
425,0x18BC | SDI vertical offset,0x18BC,SDI vertical offset,,
426,"0x18C4 | Slot of Last Damage Source | 0 - 5, with 6 indicating a self-destruct",0x18C4,Slot of Last Damage Source,"0 - 5, with 6 indicating a self-destruct",
427,"0x18D0 | Type of hit | 3 = normal hit, or shows Item ID used to damage.",0x18D0,Type of hit,"3 = normal hit, or shows Item ID used to damage.",
428,0x18F4 | Turn Timer,0x18F4,Turn Timer,,
429,0x1910 | Frames Spent Offscreen | Goes up by 1 for every frame in offscreen bubble,0x1910,Frames Spent Offscreen,Goes up by 1 for every frame in offscreen bubble,
430,0x195C | Hitlag counter | Float. Counts down by 1 every frame until reaching 0. The last frame of hitlag is the frame before it hits 0.,0x195C,Hitlag counter,Float. Counts down by 1 every frame until reaching 0. The last frame of hitlag is the frame before it hits 0.,
431,0x1968 | Number of jumps used (8-bit) | Gives more jumps if lowered.,0x1968,Number of jumps used (8-bit),Gives more jumps if lowered.,
432,0x1969 | Number of walljumps used | Read by the Walljump AS to determine how much velocity to give (800c2114),0x1969,Number of walljumps used,Read by the Walljump AS to determine how much velocity to give (800c2114),
433,0x1974 | Item Held,0x1974,Item Held,,
434,0x1978 | Item Related?,0x1978,Item Related?,,
435,0x197C | Bunny Hood,0x197C,Bunny Hood,,
436,0x1988 | Body State related | Checked for != 0 in 800693AC and calls 8007B62C with a param of 0,0x1988,Body State related,Checked for != 0 in 800693AC and calls 8007B62C with a param of 0,
437,"0x198C | Player body state (32-bit) | 0 = normal, 1 = invulnerable, 2 = intangible",0x198C,Player body state (32-bit),"0 = normal, 1 = invulnerable, 2 = intangible",
438,0x1990 | Ledge invincibility timer | Invincibility runs out when this hits 0. Modifiable.,0x1990,Ledge invincibility timer,Invincibility runs out when this hits 0. Modifiable.,
439,0x1994 | Halo invincibility timer | Invincibility runs out when this hits 0. Modifiable.,0x1994,Halo invincibility timer,Invincibility runs out when this hits 0. Modifiable.,
440,0x1998 | Shield size,0x1998,Shield size,,
441,"0x199C | Lightshield amount | Float. 1 is hard shield. z-shield is 3D924921, or .071429",0x199C,Lightshield amount,"Float. 1 is hard shield. z-shield is 3D924921, or .071429",
442,0x19A4 | Shield Follow Bit,0x19A4,Shield Follow Bit,,
443,0x19C4 | Shield Follow Bit,0x19C4,Shield Follow Bit,,
444,0x19E8 | Reflect Follow Bit,0x19E8,Reflect Follow Bit,,
445,"0x1A40 | Direction Absorb Was Hit From | Float,",0x1A40,Direction Absorb Was Hit From,"Float,",
446,0x1A44 | Damage Dealt to Absorb? | Int.,0x1A44,Damage Dealt to Absorb?,Int.,
447,"0x1A4C | Breakout countdowns | Float. Grabs, sleep attack element, ground attack element. Player breaks out when this reaches 0.",0x1A4C,Breakout countdowns,"Float. Grabs, sleep attack element, ground attack element. Player breaks out when this reaches 0.",
448,0x1A58 | Pointer to Grabbing Player,0x1A58,Pointer to Grabbing Player,,
449,"0x1A5C | Linked Hitlag Partner | When this character experiences hitlag, the linked hitlag partner is put to dependent hitlag with this character. Grabber / Grabbed characters are linked hitlag partners together, as are ICs performing joint sideb for example.",0x1A5C,Linked Hitlag Partner,"When this character experiences hitlag, the linked hitlag partner is put to dependent hitlag with this character. Grabber / Grabbed characters are linked hitlag partners together, as are ICs performing joint sideb for example.",
450,0x1A68 | ??? | Short. Set according to r4 in 8007e2d0,0x1A68,???,Short. Set according to r4 in 8007e2d0,
451,0x1A6A | Grabbable Flag | Short. Set according to r4 by 8007e2f4,0x1A6A,Grabbable Flag,Short. Set according to r4 by 8007e2f4,
452,0x1A94 | CPU AI Type | Int. Lower 8 bits is the type. Can be changed mid-game.,0x1A94,CPU AI Type,Int. Lower 8 bits is the type. Can be changed mid-game.,
453,0x1A98 | CPU Level | Int. Can be changed midgame,0x1A98,CPU Level,Int. Can be changed midgame,
454,"0x1AA0 | CPU Behaviour ID | Determines generic ""what to do"" based on action states",0x1AA0,CPU Behaviour ID,"Determines generic ""what to do"" based on action states",
455,0x1edc | AI Button Commands | Queued commands | PlCo offsets E12C to E60C consist of button sequences,0x1edc,AI Button Commands,Queued commands,PlCo offsets E12C to E60C consist of button sequences
456,0x1F1C | Pointer to 0x1F90,0x1F1C,Pointer to 0x1F90,,
457,0x1F74 | Pointer to 0x1F7C,0x1F74,Pointer to 0x1F7C,,
458,0x2000 | Lip Stick Flower Remainder | Frames of Lip Stick Flower remaining,0x2000,Lip Stick Flower Remainder,Frames of Lip Stick Flower remaining,
459,0x2004 | Starman Invincibility | Controls something with the duration of the sparkle after starman ends.,0x2004,Starman Invincibility,Controls something with the duration of the sparkle after starman ends.,
460,"0x2008 | Mushroom Duration | (32-bit) After obtaining a either mushroom, default length gets stored in this address and is decremented by one every frame. Transforms back to regular size when reaches 0.",0x2008,Mushroom Duration,"(32-bit) After obtaining a either mushroom, default length gets stored in this address and is decremented by one every frame. Transforms back to regular size when reaches 0.",
461,0x2014 | Bunny Hood Duration | Frames of Bunny Hood remaining,0x2014,Bunny Hood Duration,Frames of Bunny Hood remaining,
462,0x2028 | Metal Box Duration | Frames of Metal Box remaining,0x2028,Metal Box Duration,Frames of Metal Box remaining,
463,0x2030 | Cloaking Device Duration | Frames of Cloaking Device remaining,0x2030,Cloaking Device Duration,Frames of Cloaking Device remaining,
464,0x2064 | Ledge Grab Cooldown | Decrements by 1 each frame off the ledge,0x2064,Ledge Grab Cooldown,Decrements by 1 each frame off the ledge,
465,0x206C | Total # of action states | Increases by 1 with every new action state until match end.,0x206C,Total # of action states,Increases by 1 with every new action state until match end.,
466,"0x2070 | Word from 0x4 of Move Logic Table | 8-Bit (is read in bits, but is stored with a word @ 8008968c (comes from action state change))",0x2070,Word from 0x4 of Move Logic Table,"8-Bit (is read in bits, but is stored with a word @ 8008968c (comes from action state change))",
467,0x2071 | Unknown | 8-Bit (80037cdc reads this during actionstatechange),0x2071,Unknown,8-Bit (80037cdc reads this during actionstatechange),
468,0x2072 | Unknown | 8-Bit (80037ca4 and 80037c88 read this during actionstatechange),0x2072,Unknown,8-Bit (80037ca4 and 80037c88 read this during actionstatechange),
469,"0x2073 | Unknown | Byte (80037cf8 reads this during actionstatechange),",0x2073,Unknown,"Byte (80037cf8 reads this during actionstatechange),",
470,0x2074 | Percentage as Int? | Written to here (800896a4),0x2074,Percentage as Int?,Written to here (800896a4),
471,0x2084 | ??? | Byte. Seems to have something to do with how the Sakurai angle is calculated. See 0x8007ac9c.,0x2084,???,Byte. Seems to have something to do with how the Sakurai angle is calculated. See 0x8007ac9c.,
472,0x208C | Last attack landed,0x208C,Last attack landed,,
473,0x2090 | Combo count (16-bit),0x2090,Combo count (16-bit),,
474,"0x2098 | Player tag countdown | Displays the ""P1"", etc. tag when the countdown hits 1.",0x2098,Player tag countdown,"Displays the ""P1"", etc. tag when the countdown hits 1.",
475,0x20A4 | ??? | Pointer to loaded by 800872B0,0x20A4,???,Pointer to loaded by 800872B0,
476,0x20C4 | Pointer to 0x2138 | These are part of some sort of linked list. The next value after pointers always seems to be 6.,0x20C4,Pointer to 0x2138,These are part of some sort of linked list. The next value after pointers always seems to be 6.,
477,0x20D4 | Pointer to 0x1FDC,0x20D4,Pointer to 0x1FDC,,
478,0x20D8 | Pointer to 0x214C,0x20D8,Pointer to 0x214C,,
479,0x20E8 | Pointer to 0x1FE4,0x20E8,Pointer to 0x1FE4,,
480,0x20EC | Pointer to 0x2160,0x20EC,Pointer to 0x2160,,
481,0x210C | Wallride counter (8-bit) | Set to 0 when contact with a wall (other conditions necessary),0x210C,Wallride counter (8-bit),Set to 0 when contact with a wall (other conditions necessary),
482,0x2110 | Wall location (float) | Wall on left(1)/right(-1) of character,0x2110,Wall location (float),Wall on left(1)/right(-1) of character,
483,"0x2114 | Smash attack state | 2 = charging smash, 3 = attacking with charged smash, 0 = all other times",0x2114,Smash attack state,"2 = charging smash, 3 = attacking with charged smash, 0 = all other times",
484,0x2118 | Smash attack charge frame counter,0x2118,Smash attack charge frame counter,,
