source_row,row_text,A,B,C,D,E
3,Subaction 0x2C: Hitbox | Length 0x14,Subaction 0x2C: Hitbox,Length 0x14,,,
4,"0x0 | Data | Bits 25-23: Hitbox ID\nBits 22-20: Hitbox Group # (two hitboxes with different groups are able to hit a character)\nBit 19: Hit only your grabbed target (bugged, read note)\nBits 18-11: Target Bone; \nBit 10:  Use Common Bone ID (loads a certain ID based on character)\nBit 9-0: Damage (max 1023%) | For bits 22-20, Hitbox Group #1 will only stop other Group 1 hitboxes from hitting the SAME character\nBit 19 is bugged, and will only work if you put a hitbox directly before this one.  The reason: the hitbox Event reads this bit from offset 0x15 which is outside the length of this Event. | Verified by reading the assembly, but it's more or less matching up with what is here: https://smashboards.com/threads/melee-hacks-and-you-new-hackers-start-here-in-the-op.247119/page-48#post-10769744",0x0,Data,"Bits 25-23: Hitbox ID\nBits 22-20: Hitbox Group # (two hitboxes with different groups are able to hit a character)\nBit 19: Hit only your grabbed target (bugged, read note)\nBits 18-11: Target Bone; \nBit 10:  Use Common Bone ID (loads a certain ID based on character)\nBit 9-0: Damage (max 1023%)","For bits 22-20, Hitbox Group #1 will only stop other Group 1 hitboxes from hitting the SAME character\nBit 19 is bugged, and will only work if you put a hitbox directly before this one.  The reason: the hitbox Event reads this bit from offset 0x15 which is outside the length of this Event.","Verified by reading the assembly, but it's more or less matching up with what is here: https://smashboards.com/threads/melee-hacks-and-you-new-hackers-start-here-in-the-op.247119/page-48#post-10769744"
5,"0x4 | Size | 2 bytes, converted to 256th precision float",0x4,Size,"2 bytes, converted to 256th precision float",,
6,"0x6 | Z Offset | 2 bytes, converted to 256th precision float",0x6,Z Offset,"2 bytes, converted to 256th precision float",,
7,"0x8 | Y Offset | 2 bytes, converted to 256th precision float",0x8,Y Offset,"2 bytes, converted to 256th precision float",,
8,"0xA | X Offset | 2 bytes, converted to 256th precision float",0xA,X Offset,"2 bytes, converted to 256th precision float",,
9,"0xC | Data | Word. Bits 31-23: Angle\nBits 22-14: Knockback Growth\nBits 13-5: Weight Dependent Set Knockback\nBit 4: Item hit interaction\nBit 3: Hitbox appears only when thrown\nBit 2: Ignore model scale\nBit 1: Hitbox interaction\nBit 0: Rebound flag | Bit 3 is on some of hitboxes called on the DamageFly sub actions\nBit 4 data is transferred to any item/article on hurtbox collision. If the bit of a hitbox that breaks metal box is 1, the attacker gets Metal. If 0, they don't.",0xC,Data,Word. Bits 31-23: Angle\nBits 22-14: Knockback Growth\nBits 13-5: Weight Dependent Set Knockback\nBit 4: Item hit interaction\nBit 3: Hitbox appears only when thrown\nBit 2: Ignore model scale\nBit 1: Hitbox interaction\nBit 0: Rebound flag,"Bit 3 is on some of hitboxes called on the DamageFly sub actions\nBit 4 data is transferred to any item/article on hurtbox collision. If the bit of a hitbox that breaks metal box is 1, the attacker gets Metal. If 0, they don't.",
10,"0x10 | Data | Word. Bits 31-23 Base Knockback\nBits 22-18: Element\nBit 17-10: Shield damage. 1 byte, signed integer.\nBit 9-7: Hit SFX\nBit 6-2: Hit SFX Type\nBit 1: Hit grounded fighters\nBit 0: Hit aerial fighters | Negative shield damage means the hitbox will do that much less shield damage.",0x10,Data,"Word. Bits 31-23 Base Knockback\nBits 22-18: Element\nBit 17-10: Shield damage. 1 byte, signed integer.\nBit 9-7: Hit SFX\nBit 6-2: Hit SFX Type\nBit 1: Hit grounded fighters\nBit 0: Hit aerial fighters",Negative shield damage means the hitbox will do that much less shield damage.,
