source_row,row_text,A,B,C
111,0xE3C | ??? Offset | Added to 0x80473A18 for (0x80473A18 + Offset) + 0x90 = 0,0xE3C,??? Offset,Added to 0x80473A18 for (0x80473A18 + Offset) + 0x90 = 0
113,Static Item Table Struct,Static Item Table Struct,,
114,0x00,0x00,,
115,0x04,0x04,,
116,0x08,0x08,,
117,0x0C,0x0C,,
118,0x10,0x10,,
119,0x14,0x14,,
120,0x18 | Pointer to Should Item Be Destroyed Function?,0x18,Pointer to Should Item Be Destroyed Function?,
123,Item Function Table Struct | Length 0x3C,Item Function Table Struct,Length 0x3C,
124,0x00 | Pointer to Statedata | This list of pointers for all items is just above the start of the Item Function Table,0x00,Pointer to Statedata,This list of pointers for all items is just above the start of the Item Function Table
125,0x04 | OnCreate (item_t*),0x04,OnCreate (item_t*),
126,"0x08 | OnDestroy (item_t*) | Not always used, but can be seen with items like the Box or acts as the Heal function for healing items",0x08,OnDestroy (item_t*),"Not always used, but can be seen with items like the Box or acts as the Heal function for healing items"
127,0x0C | OnPickup (item_t*),0x0C,OnPickup (item_t*),
128,0x10 | OnRelease(item_t*) | This is your R+A throw away,0x10,OnRelease(item_t*),This is your R+A throw away
129,0x14 | OnThrow (item_t*),0x14,OnThrow (item_t*),
130,"0x18 | OnHitCollision(item_t*) | Functionally, this is actually a collision check, since it occurs multiple times before hits are actually registered. If this function returns 1, the item is 'instant on touch'",0x18,OnHitCollision(item_t*),"Functionally, this is actually a collision check, since it occurs multiple times before hits are actually registered. If this function returns 1, the item is 'instant on touch'"
131,"0x1C | OnTakeDamage(item_t*) | For Mr. Saturn, this only occurs when it collides with another Mr. Saturn",0x1C,OnTakeDamage(item_t*),"For Mr. Saturn, this only occurs when it collides with another Mr. Saturn"
132,"0x20 | OnFallOffEdge (item_t *, item->item_data->0xB8)",0x20,"OnFallOffEdge (item_t *, item->item_data->0xB8)",
133,0x24,0x24,,
134,0x28,0x28,,
135,0x2C | 0x00000000,0x2C,0x00000000,
136,0x30,0x30,,
137,0x34,0x34,,
138,0x38,0x38,,
139,0x3C,0x3C,,
141,Spawn Item Struct | Length 0x58? | Used for the SpawnEntity function,Spawn Item Struct,Length 0x58?,Used for the SpawnEntity function
142,0x00 | Pointer to Player Entity | Not always applicable. Used for characters like Peach,0x00,Pointer to Player Entity,Not always applicable. Used for characters like Peach
143,0x04 | Pointer to creator GOBJ,0x04,Pointer to creator GOBJ,
144,0x08 | Item Type Index,0x08,Item Type Index,
145,0x0C | Sub Type?,0x0C,Sub Type?,
146,0x10 | Unk Pointer | Set to 0 by SpawnEntity; is never read. May be leftover garbage from the stack.,0x10,Unk Pointer,Set to 0 by SpawnEntity; is never read. May be leftover garbage from the stack.
147,0x14 | X (Horizontal) Position | Float,0x14,X (Horizontal) Position,Float
148,0x18 | Y (Vertical) Position | Float,0x18,Y (Vertical) Position,Float
149,0x1C | Z (Depth) Position | Float,0x1C,Z (Depth) Position,Float
150,0x20 | X Position (Repeated) | Float,0x20,X Position (Repeated),Float
151,0x24 | Y Position (Repeated) | Float,0x24,Y Position (Repeated),Float
152,0x28 | Z Position (Repeated) | Float,0x28,Z Position (Repeated),Float
153,0x2C | X Velocity | Float,0x2C,X Velocity,Float
154,0x30 | Y Velocity | Float,0x30,Y Velocity,Float
155,0x34 | Z Velocity | Float,0x34,Z Velocity,Float
156,0x38 | Angular Velocity | Float. 1 or -1,0x38,Angular Velocity,Float. 1 or -1
157,0x44 | 0x80000000,0x44,0x80000000,
158,"0x48 | ""Is Spawned"" Flag | Set to 1 by SpawnItem",0x48,"""Is Spawned"" Flag",Set to 1 by SpawnItem
159,0x50 | Pointer to Player Article Floating Points | Used by Fox's Laser and presumably anything else modified by Article FP,0x50,Pointer to Player Article Floating Points,Used by Fox's Laser and presumably anything else modified by Article FP
160,0x54 | Pointer to Player Character Data,0x54,Pointer to Player Character Data,
162,Spawn Player Struct,Spawn Player Struct,,
163,0x00 | Possible Length 0xC | Int,0x00,Possible Length 0xC,Int
164,0x05 | Player Slot | Byte,0x05,Player Slot,Byte
165,0x06 | Unknown | Byte. Generally 0xFF,0x06,Unknown,Byte. Generally 0xFF
166,"0x07 | Flags | Byte. 0x2A = Normal, 0x80 = Nana, 0x00 = Player Clone, 0x29 = Multi-Man Fight",0x07,Flags,"Byte. 0x2A = Normal, 0x80 = Nana, 0x00 = Player Clone, 0x29 = Multi-Man Fight"
