source_file,line,section,address,size,virtual_address,flags,name,is_placeholder
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,41,.text,0x80005ae4,0x0000001c,0x80005ae4,0,zz_0005ae4_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,42,.text,0x80005b00,0x00000018,0x80005b00,0,zz_0005b00_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,43,.text,0x80005b18,0x0000004c,0x80005b18,0,zz_0005b18_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,44,.text,0x80005b64,0x0000004c,0x80005b64,0,Subaction_CheckForTimer,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,45,.text,0x80005bb0,0x00000094,0x80005bb0,0,SFX_PlayOnHitSFX,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,46,.text,0x80005c44,0x00000278,0x80005c44,0,zz_0005c44_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,47,.text,0x80005ebc,0x00000104,0x80005ebc,0,zz_0005ebc_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,48,.text,0x80005fc0,0x000000d4,0x80005fc0,0,zz_0005fc0_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,49,.text,0x80006094,0x00000764,0x80006094,0,zz_0006094_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,50,.text,0x800067f8,0x00000660,0x800067f8,0,zz_00067f8_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,51,.text,0x80006e58,0x00000948,0x80006e58,0,Hitbox_CalculateHitboxCollisionWithHurtbox(r10=StoreOverlapCoordinatesHere),false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,52,.text,0x800077a0,0x0000035c,0x800077a0,0,zz_00077a0_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,53,.text,0x80007afc,0x0000007c,0x80007afc,0,checkIfHitboxHitsHittableProjectile,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,54,.text,0x80007b78,0x00000054,0x80007b78,0,zz_0007b78_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,55,.text,0x80007bcc,0x0000019c,0x80007bcc,0,Hitbox_CheckIfProjectileCollidesWithReflect/Absorb/ShieldBox,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,56,.text,0x80007d68,0x00000070,0x80007d68,0,HSD_JObjSetupMatrix,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,57,.text,0x80007dd8,0x000000f4,0x80007dd8,0,zz_0007dd8_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,58,.text,0x80007ecc,0x00000190,0x80007ecc,0,Hitbox_Grab_CollisionWithHurtboxCheck,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,59,.text,0x8000805c,0x000001ec,0x8000805c,0,Hitbox_CheckForHitboxCollisionWithHurtbox,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,60,.text,0x80008248,0x0000017c,0x80008248,0,Hitbox_Unk,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,61,.text,0x800083c4,0x00000064,0x800083c4,0,Fighter_UpdateHurtboxPosition,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,62,.text,0x80008428,0x0000000c,0x80008428,0,Hitbox_Deactivate,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,63,.text,0x80008434,0x0000000c,0x80008434,0,Hitbox_Activate,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,64,.text,0x80008440,0x000000a0,0x80008440,0,Hitbox_InitVictimArray,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,65,.text,0x800084e0,0x0000001c,0x800084e0,0,zz_00084e0_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,66,.text,0x800084fc,0x00000170,0x800084fc,0,zz_00084fc_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,67,.text,0x8000866c,0x0000001c,0x8000866c,0,zz_000866c_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,68,.text,0x80008688,0x00000198,0x80008688,0,StoreVictimPointerToAttackersHitboxStruct,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,69,.text,0x80008820,0x00000198,0x80008820,0,zz_0008820_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,70,.text,0x800089b8,0x000000a4,0x800089b8,0,zz_00089b8_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,71,.text,0x80008a5c,0x000002d4,0x80008a5c,0,Item_ResetHitPlayers,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,72,.text,0x80008d30,0x00000074,0x80008d30,0,EnvDamage_GetDamageValues,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,73,.text,0x80008da4,0x00000224,0x80008da4,0,"GX_SetBubbleColor?(r3=Color,r4=AmbienceColor)",false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,74,.text,0x80008fc8,0x000006ec,0x80008fc8,0,"CollisionBubbles_DisplayBubble(r3=PrevXYZLocation,r4=CurrentXYZLocation,r5=BubbleColor,r6=HitboxAmbientColor)",false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,75,.text,0x800096b4,0x00000720,0x800096b4,0,"CollisionBubbles_DisplayBubble(r3=Unk,r4=CurrentXYZLocation,r5=XYZAgain?r6=BubbleColor,r7=HitboxAmbientColor)",false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,76,.text,0x80009dd4,0x00000180,0x80009dd4,0,zz_0009dd4_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,77,.text,0x80009f54,0x000000f0,0x80009f54,0,CollisionBubbles_DisplayHitboxes,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,78,.text,0x8000a044,0x000000c8,0x8000a044,0,CollisionBubbles_DisplayCenterBubble,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,79,.text,0x8000a10c,0x0000009c,0x8000a10c,0,zz_000a10c_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,80,.text,0x8000a1a8,0x0000009c,0x8000a1a8,0,zz_000a1a8_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,81,.text,0x8000a244,0x0000021c,0x8000a244,0,CollisionBubbles_DisplayHurtboxes,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,82,.text,0x8000a460,0x00000124,0x8000a460,0,CollisionBubbles_DisplayHeadSphere,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,83,.text,0x8000a584,0x00000208,0x8000a584,0,CollisionBubbles_DisplayInvincIntang,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,84,.text,0x8000a78c,0x000001d0,0x8000a78c,0,CollisionBubbles_DisplayShield,false
